node,lineage
NODE_0000669,B.1.617.1
NODE_0000670,B.1.617.1
NODE_0000671,B.1.617.1
NODE_0000672,B.1.617.1
NODE_0000673,B.1.617.1
NODE_0000674,B.1.617.2
NODE_0000675,B.1.617.2
NODE_0000676,B.1.617.2
NODE_0000677,B.1.617.2
NODE_0000678,B.1.617.2
NODE_0000679,B.1.617.2
NODE_0000680,B.1.617.2
NODE_0000681,B.1.617.2
NODE_0000682,B.1.617.2
NODE_0000683,B.1.617.2
NODE_0000684,B.1.617.2
NODE_0000685,B.1.617.2
NODE_0000686,B.1.617.2
NODE_0000687,B.1.617.2
NODE_0000688,B.1.617.2.30
NODE_0000689,B.1.617.2.30
NODE_0000690,B.1.617.2.30
NODE_0000691,B.1.617.2.30
NODE_0000692,B.1.617.2
NODE_0000693,B.1.617.2
NODE_0000694,B.1.617.2.8
NODE_0000695,B.1.617.2.8
NODE_0000696,B.1.617.2.8
NODE_0000697,B.1.617.2.8
NODE_0000698,B.1.617.2
NODE_0000699,B.1.617.2.14
NODE_0000700,B.1.617.2.14
NODE_0000701,B.1.617.2.14
NODE_0000702,B.1.617.2.14
NODE_0000703,B.1.617.2.14
NODE_0000704,B.1.617.2
NODE_0000705,B.1.617.2.16
NODE_0000706,B.1.617.2.16
NODE_0000707,B.1.617.2.16
NODE_0000708,B.1.617.2.16
NODE_0000709,B.1.617.2.16
NODE_0000710,B.1.617.2.16
NODE_0000711,B.1.617.2.16
NODE_0000712,B.1.617.2.16
NODE_0000713,B.1.617.2.16
NODE_0000714,B.1.617.2.13
NODE_0000715,B.1.617.2.13
NODE_0000716,B.1.617.2.13
NODE_0000717,B.1.617.2.13
NODE_0000718,B.1.617.2.13
NODE_0000719,B.1.617.2.13
NODE_0000720,B.1.617.2.13
NODE_0000721,B.1.617.2.13
NODE_0000722,B.1.617.2.13
NODE_0000723,B.1.617.2.13
NODE_0000724,B.1.617.2.13
NODE_0000725,B.1.617.2.13
NODE_0000726,B.1.617.2.13
NODE_0000727,B.1.617.2.13
NODE_0000728,B.1.617.2
NODE_0000729,B.1.617.2
NODE_0000730,B.1.617.2
NODE_0000731,B.1.617.2
NODE_0000732,B.1.617.2
NODE_0000733,B.1.617.2
NODE_0000734,B.1.617.2
NODE_0000735,B.1.617.2.24
NODE_0000736,B.1.617.2
NODE_0000737,B.1.617.2.2
NODE_0000738,B.1.617.2.2
NODE_0000739,B.1.617.2.2
NODE_0000740,B.1.617.2.2
